,Method,Scene,Length
285,R3T_old,4,0.546321135052008
286,R3T_old,4,0.5520694272896761
287,R3T_old,4,0.5184230601337156
288,R3T_old,4,0.5228741148027142
289,R3T_old,4,0.520095601938988
290,R3T_old,4,0.5546578018147252
291,R3T_old,4,0.5824974678534469
292,R3T_old,4,0.6111268924952591
293,R3T_old,4,0.6299617564542246
294,R3T_old,4,0.6139470994836623
295,R3T_old,4,0.6701427210088451
296,R3T_old,4,0.556422058381126
297,R3T_old,4,0.595627422296749
298,R3T_old,4,0.5431771736639252
299,R3T_old,4,0.5633477520388607
